Spring,West,Spring,Washington
Spring,Washington,Spring,Greenwich
Spring,Greenwich,Spring,Renwick
Spring,Renwick,Spring,Hudson
Spring,Hudson,Spring,Varick
Spring,Varick,Spring,Sixth
Spring,Sixth,Spring,Sullivan
Spring,Sullivan,Spring,Thompson
Spring,West,Canal,Washington
Canal,Washington,Canal,Greenwich
Canal,Greenwich,Canal,Renwick
Canal,Renwick,Canal,Hudson
Canal,Hudson,Canal,Varick
Canal,Varick,Canal,Sullivan
Canal,Sullivan,Canal,Sixth
Grand,Varick,Grand,Sixth
Grand,Sixth,Grand,Thompson
Canal,Hudson,Watts,Varick
Watts,Varick,Watts,Sixth
Watts,Sixth,Watts,Thompson
Dominick,Hudson,Dominick,Varick
Broome,Varick,Broome,Sixth
Broome,Sixth,Broome,Sullivan
Broome,Sullivan,Broome,Thompson
Spring,Washington,Canal,Washington
Spring,Greenwich,Canal,Greenwich
Spring,Renwick,Canal,Renwick
Spring,Hudson,Dominick,Hudson
Dominick,Hudson,Canal,Hudson
Spring,Varick,Dominick,Varick
Dominick,Varick,Broome,Varick
Broome,Varick,Watts,Varick
Grand,Varick,Canal,Varick
Spring,Sixth,Broome,Sixth
Broome,Sixth,Watts,Sixth
Watts,Sixth,Grand,Sixth
Grand,Sixth,Canal,Sullivan
Grand,Sixth,Canal,Sixth
Spring,Sullivan,Broome,Sullivan
Broome,Sullivan,Watts,Sullivan
Spring,Thompson,Broome,Thompson
Broome,Thompson,Watts,Thompson
Watts,Thompson,Grand,Thompson
Grand,Thompson,Canal,Thompson
